dataset,probe_id,contrast,severity_ms,left_condition,right_condition,estimand,primary_ci,left_accuracy_pct,right_accuracy_pct,difference_pp,ci95_low_pp,ci95_high_pp,ci_excludes_zero,n_samples,n_clusters,bootstrap_resamples,bootstrap_seed
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,pooled,pbj,cf_matched,sample_micro_class_stratified,True,51.71399176954733,58.045267489711925,-6.331275720164596,-6.70713305898491,-5.952657750342936,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,sample_micro_class_stratified,True,70.74691358024691,58.96776406035665,11.77914951989024,11.162551440329219,12.393055555555556,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,25,pbj,cf_matched,sample_micro_class_stratified,True,57.2551440329218,60.39711934156379,-3.1419753086419955,-3.615226337448559,-2.6707818930041154,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,25,clean,pbj_identity_loss,sample_micro_class_stratified,True,70.74691358024691,60.08641975308642,10.660493827160426,10.012345679012347,11.310699588477364,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,50,pbj,cf_matched,sample_micro_class_stratified,True,51.43004115226337,57.61934156378601,-6.189300411522636,-6.707870370370371,-5.672788065843621,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,50,clean,pbj_identity_loss,sample_micro_class_stratified,True,70.74691358024691,58.53497942386831,12.211934156378549,11.528806584362142,12.890997942386834,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,75,pbj,cf_matched,sample_micro_class_stratified,True,46.456790123456784,56.11934156378601,-9.662551440329132,-10.193467078189302,-9.131687242798352,True,5400,5400,10000,20260907
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,75,clean,pbj_identity_loss,sample_micro_class_stratified,True,70.74691358024691,58.281893004115226,12.465020576131627,11.773662551440328,13.146090534979423,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,pooled,pbj,cf_matched,sample_micro_class_stratified,True,44.8676268861454,58.810699588477355,-13.943072702331758,-14.379286694101506,-13.504766803840878,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,sample_micro_class_stratified,True,79.98765432098764,61.17969821673525,18.807956104252437,18.092575445816188,19.517163923182444,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,pooled,pbj_aug,cf_matched_aug,sample_micro_class_stratified,True,73.60150891632374,71.53292181069959,2.0685871056241583,1.7702160493827162,2.362842935528121,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,pooled,pbj_aug,matched_aug,sample_micro_class_stratified,True,73.60150891632374,64.37174211248285,9.229766803840727,8.731807270233196,9.71743827160494,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,25,pbj,cf_matched,sample_micro_class_stratified,True,55.04938271604938,64.01028806584362,-8.960905349794173,-9.483539094650205,-8.419701646090534,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,25,clean,pbj_identity_loss,sample_micro_class_stratified,True,79.98765432098764,62.751028806584365,17.23662551440323,16.497942386831273,17.995936213991772,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,25,pbj_aug,cf_matched_aug,sample_micro_class_stratified,True,77.20370370370371,77.10493827160492,0.0987654320987653,-0.22638888888888903,0.43209876543209863,False,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,25,pbj_aug,matched_aug,sample_micro_class_stratified,True,77.20370370370371,73.59670781893006,3.606995884773684,3.1111111111111107,4.106995884773661,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,50,pbj,cf_matched,sample_micro_class_stratified,True,43.7037037037037,58.030864197530875,-14.327160493827007,-14.90123456790123,-13.763323045267484,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,50,clean,pbj_identity_loss,sample_micro_class_stratified,True,79.98765432098764,60.0411522633745,19.94650205761316,19.181018518518513,20.7119341563786,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,50,pbj_aug,cf_matched_aug,sample_micro_class_stratified,True,74.28600823045267,72.3312757201646,1.9547325102880735,1.580246913580247,2.32716049382716,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,50,pbj_aug,matched_aug,sample_micro_class_stratified,True,74.28600823045267,65.20781893004116,9.078189300411454,8.477366255144032,9.664609053497943,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,75,pbj,cf_matched,sample_micro_class_stratified,True,35.849794238683124,54.390946502057616,-18.54115226337423,-19.148148148148145,-17.93209876543209,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,75,clean,pbj_identity_loss,sample_micro_class_stratified,True,79.98765432098764,60.74691358024691,19.240740740740765,18.483539094650208,19.99588477366255,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,75,pbj_aug,cf_matched_aug,sample_micro_class_stratified,True,69.31481481481482,65.16255144032921,4.152263374485649,3.7304526748971187,4.565843621399176,True,5400,5400,10000,20260907
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,75,pbj_aug,matched_aug,sample_micro_class_stratified,True,69.31481481481482,54.31069958847736,15.004115226337309,14.341512345679005,15.641975308641973,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,pooled,pbj,cf_matched,sample_micro_class_stratified,True,40.17078189300412,52.065843621399175,-11.895061728394845,-12.301097393689986,-11.478737997256518,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,sample_micro_class_stratified,True,75.33333333333333,54.55761316872428,20.77572016460904,20.064454732510285,21.47805212620027,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,25,pbj,cf_matched,sample_micro_class_stratified,True,48.623456790123456,56.9238683127572,-8.30041152263368,-8.810699588477364,-7.781893004115227,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,25,clean,pbj_identity_loss,sample_micro_class_stratified,True,75.33333333333333,55.88477366255143,19.44855967078186,18.699588477366255,20.187242798353903,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,50,pbj,cf_matched,sample_micro_class_stratified,True,39.03909465020576,51.39506172839505,-12.355967078189147,-12.911574074074073,-11.802469135802468,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,50,clean,pbj_identity_loss,sample_micro_class_stratified,True,75.33333333333333,53.60082304526749,21.732510288065715,20.95673868312757,22.49387860082304,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,75,pbj,cf_matched,sample_micro_class_stratified,True,32.849794238683124,47.87860082304526,-15.028806584361899,-15.578189300411518,-14.467078189300404,True,5400,5400,10000,20260907
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,75,clean,pbj_identity_loss,sample_micro_class_stratified,True,75.33333333333333,54.18724279835391,21.146090534979336,20.386779835390946,21.89094650205761,True,5400,5400,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,pbj,cf_matched,participant_macro,True,85.63678804855276,86.14596949891067,-0.509181450357921,-0.6442577030812324,-0.3694366635543106,True,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,participant_macro,True,86.61624649859945,86.51509492685963,0.10115157173980723,-0.09057734204793014,0.28727046374105214,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,25,pbj,cf_matched,participant_macro,True,86.2670401493931,86.2642390289449,0.0028011204481792513,-0.17553688141923438,0.1792717086834734,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,25,clean,pbj_identity_loss,participant_macro,True,86.61624649859945,86.40709617180205,0.20915032679738582,-0.014939309056955893,0.4360410830999067,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,50,pbj,cf_matched,participant_macro,True,85.7983193277311,86.22128851540614,-0.42296918767507014,-0.646125116713352,-0.2035480859010271,True,7700,34,10000,20260907
