dataset,probe_id,contrast,severity_ms,split_seed,estimand,difference_pp
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,pooled,42,sample_micro,-6.259259259259259
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,pooled,123,sample_micro,-6.858024691358025
braille,braille_ratesnn_h192_l3,PBJ_minus_CF+M,pooled,202,sample_micro,-5.8765432098765435
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,pooled,42,sample_micro,11.117283950617285
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,pooled,123,sample_micro,11.837448559670785
braille,braille_ratesnn_h192_l3,Clean_minus_identity_loss,pooled,202,sample_micro,12.382716049382715
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,pooled,42,sample_micro,-14.290123456790123
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,pooled,123,sample_micro,-14.063786008230453
braille,braille_tcn_small_h64_b2_k3,PBJ_minus_CF+M,pooled,202,sample_micro,-13.475308641975309
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,pooled,42,sample_micro,18.349794238683128
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,pooled,123,sample_micro,18.76954732510288
braille,braille_tcn_small_h64_b2_k3,Clean_minus_identity_loss,pooled,202,sample_micro,19.304526748971195
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,pooled,42,sample_micro,1.919753086419753
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,pooled,123,sample_micro,2.2263374485596708
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_CF+M_aug_on_PBJ,pooled,202,sample_micro,2.0596707818930042
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,pooled,42,sample_micro,8.790123456790122
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,pooled,123,sample_micro,9.382716049382717
braille,braille_tcn_small_h64_b2_k3,PBJ_aug_minus_M_aug_on_PBJ,pooled,202,sample_micro,9.516460905349795
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,pooled,42,sample_micro,-11.539094650205762
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,pooled,123,sample_micro,-12.094650205761317
braille,braille_conv1d_h83_l2_k5,PBJ_minus_CF+M,pooled,202,sample_micro,-12.051440329218108
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,pooled,42,sample_micro,19.95267489711934
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,pooled,123,sample_micro,20.440329218107
braille,braille_conv1d_h83_l2_k5,Clean_minus_identity_loss,pooled,202,sample_micro,21.93415637860082
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,42,sample_micro,-0.505050505050505
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,42,participant_macro,-0.5508870214752569
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,123,sample_micro,-0.5252525252525253
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,123,participant_macro,-0.535014005602241
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,202,sample_micro,-0.4963924963924964
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,202,participant_macro,-0.44164332399626516
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,42,sample_micro,0.2265512265512267
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,42,participant_macro,0.1549953314659199
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,123,sample_micro,-0.06349206349206331
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,123,participant_macro,0.002801120448179431
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,202,sample_micro,0.15440115440115465
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,202,participant_macro,0.14565826330532233
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,42,sample_micro,-2.3318903318903326
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,42,participant_macro,-2.2885154061624653
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,123,sample_micro,-2.2337662337662336
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,123,participant_macro,-2.2399626517273576
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,202,sample_micro,-2.001443001443002
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,202,participant_macro,-1.9925303454715222
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,42,sample_micro,0.01587301587301597
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,42,participant_macro,0.04201680672268916
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,123,sample_micro,0.08080808080808088
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,123,participant_macro,0.04575163398692817
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,202,sample_micro,-0.053391053391053336
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,202,participant_macro,-0.07469654528478052

