dataset,probe_id,train_arm,test_condition,split_seed,accuracy_pct
braille,braille_tcn_small_h64_b2_k3,clean,clean,42,80.18518518518518
braille,braille_tcn_small_h64_b2_k3,clean,clean,123,80.07407407407408
braille,braille_tcn_small_h64_b2_k3,clean,clean,202,79.7037037037037
braille,braille_tcn_small_h64_b2_k3,clean,prebin,42,69.58024691358024
braille,braille_tcn_small_h64_b2_k3,clean,prebin,123,70.05349794238683
braille,braille_tcn_small_h64_b2_k3,clean,prebin,202,69.91358024691358
braille,braille_tcn_small_h64_b2_k3,clean,pbj,42,44.86831275720165
braille,braille_tcn_small_h64_b2_k3,clean,pbj,123,44.77572016460905
braille,braille_tcn_small_h64_b2_k3,clean,pbj,202,44.958847736625515
braille,braille_tcn_small_h64_b2_k3,clean,cf,42,74.42181069958848
braille,braille_tcn_small_h64_b2_k3,clean,cf,123,75.37860082304528
braille,braille_tcn_small_h64_b2_k3,clean,cf,202,74.6358024691358
braille,braille_tcn_small_h64_b2_k3,clean,matched,42,67.7448559670782
braille,braille_tcn_small_h64_b2_k3,clean,matched,123,66.89300411522635
braille,braille_tcn_small_h64_b2_k3,clean,matched,202,66.5082304526749
braille,braille_tcn_small_h64_b2_k3,clean,cf_matched,42,59.15843621399177
braille,braille_tcn_small_h64_b2_k3,clean,cf_matched,123,58.839506172839506
braille,braille_tcn_small_h64_b2_k3,clean,cf_matched,202,58.43415637860082
braille,braille_tcn_small_h64_b2_k3,pbj_aug,clean,42,79.81481481481481
braille,braille_tcn_small_h64_b2_k3,pbj_aug,clean,123,80.44444444444444
braille,braille_tcn_small_h64_b2_k3,pbj_aug,clean,202,80.25925925925927
braille,braille_tcn_small_h64_b2_k3,pbj_aug,prebin,42,71.9238683127572
braille,braille_tcn_small_h64_b2_k3,pbj_aug,prebin,123,72.44238683127571
braille,braille_tcn_small_h64_b2_k3,pbj_aug,prebin,202,71.95473251028807
braille,braille_tcn_small_h64_b2_k3,pbj_aug,pbj,42,73.42386831275721
braille,braille_tcn_small_h64_b2_k3,pbj_aug,pbj,123,73.80864197530865
braille,braille_tcn_small_h64_b2_k3,pbj_aug,pbj,202,73.57201646090536
braille,braille_tcn_small_h64_b2_k3,pbj_aug,cf,42,77.69341563786008
braille,braille_tcn_small_h64_b2_k3,pbj_aug,cf,123,78.440329218107
braille,braille_tcn_small_h64_b2_k3,pbj_aug,cf,202,78.46913580246914
braille,braille_tcn_small_h64_b2_k3,pbj_aug,matched,42,77.2119341563786
braille,braille_tcn_small_h64_b2_k3,pbj_aug,matched,123,77.52057613168725
braille,braille_tcn_small_h64_b2_k3,pbj_aug,matched,202,77.56995884773663
braille,braille_tcn_small_h64_b2_k3,pbj_aug,cf_matched,42,75.73045267489712
braille,braille_tcn_small_h64_b2_k3,pbj_aug,cf_matched,123,75.95267489711934
braille,braille_tcn_small_h64_b2_k3,pbj_aug,cf_matched,202,75.89300411522633
braille,braille_tcn_small_h64_b2_k3,cf_aug,clean,42,81.4074074074074
braille,braille_tcn_small_h64_b2_k3,cf_aug,clean,123,81.24074074074073
braille,braille_tcn_small_h64_b2_k3,cf_aug,clean,202,81.7037037037037
braille,braille_tcn_small_h64_b2_k3,cf_aug,prebin,42,73.7798353909465
braille,braille_tcn_small_h64_b2_k3,cf_aug,prebin,123,73.52880658436214
braille,braille_tcn_small_h64_b2_k3,cf_aug,prebin,202,73.28189300411523
braille,braille_tcn_small_h64_b2_k3,cf_aug,pbj,42,59.7037037037037
braille,braille_tcn_small_h64_b2_k3,cf_aug,pbj,123,58.14609053497942
braille,braille_tcn_small_h64_b2_k3,cf_aug,pbj,202,58.781893004115226
braille,braille_tcn_small_h64_b2_k3,cf_aug,cf,42,79.73868312757202
braille,braille_tcn_small_h64_b2_k3,cf_aug,cf,123,79.46502057613168
braille,braille_tcn_small_h64_b2_k3,cf_aug,cf,202,79.66460905349794
braille,braille_tcn_small_h64_b2_k3,cf_aug,matched,42,73.27572016460906
braille,braille_tcn_small_h64_b2_k3,cf_aug,matched,123,72.12345679012346
braille,braille_tcn_small_h64_b2_k3,cf_aug,matched,202,72.48148148148148
braille,braille_tcn_small_h64_b2_k3,cf_aug,cf_matched,42,70.14609053497942
braille,braille_tcn_small_h64_b2_k3,cf_aug,cf_matched,123,68.54938271604938
braille,braille_tcn_small_h64_b2_k3,cf_aug,cf_matched,202,68.82921810699588
braille,braille_tcn_small_h64_b2_k3,prebin_aug,clean,42,83.14814814814815
braille,braille_tcn_small_h64_b2_k3,prebin_aug,clean,123,82.64814814814815
braille,braille_tcn_small_h64_b2_k3,prebin_aug,clean,202,82.37037037037037
braille,braille_tcn_small_h64_b2_k3,prebin_aug,prebin,42,81.0925925925926
braille,braille_tcn_small_h64_b2_k3,prebin_aug,prebin,123,81.04320987654322
braille,braille_tcn_small_h64_b2_k3,prebin_aug,prebin,202,81.07818930041152
braille,braille_tcn_small_h64_b2_k3,prebin_aug,pbj,42,39.798353909465014
braille,braille_tcn_small_h64_b2_k3,prebin_aug,pbj,123,39.467078189300416
braille,braille_tcn_small_h64_b2_k3,prebin_aug,pbj,202,39.93621399176954
braille,braille_tcn_small_h64_b2_k3,prebin_aug,cf,42,76.79218106995884
braille,braille_tcn_small_h64_b2_k3,prebin_aug,cf,123,76.78395061728396
braille,braille_tcn_small_h64_b2_k3,prebin_aug,cf,202,76.58024691358025
braille,braille_tcn_small_h64_b2_k3,prebin_aug,matched,42,66.4238683127572
braille,braille_tcn_small_h64_b2_k3,prebin_aug,matched,123,65.71810699588477
braille,braille_tcn_small_h64_b2_k3,prebin_aug,matched,202,66.24279835390946
braille,braille_tcn_small_h64_b2_k3,prebin_aug,cf_matched,42,55.771604938271615
braille,braille_tcn_small_h64_b2_k3,prebin_aug,cf_matched,123,55.40123456790123
braille,braille_tcn_small_h64_b2_k3,prebin_aug,cf_matched,202,56.11316872427984
braille,braille_tcn_small_h64_b2_k3,matched_aug,clean,42,80.55555555555556
braille,braille_tcn_small_h64_b2_k3,matched_aug,clean,123,81.31481481481482
braille,braille_tcn_small_h64_b2_k3,matched_aug,clean,202,81.75925925925925
braille,braille_tcn_small_h64_b2_k3,matched_aug,prebin,42,69.70164609053498
braille,braille_tcn_small_h64_b2_k3,matched_aug,prebin,123,69.67283950617283
braille,braille_tcn_small_h64_b2_k3,matched_aug,prebin,202,69.7551440329218
braille,braille_tcn_small_h64_b2_k3,matched_aug,pbj,42,64.63374485596708
braille,braille_tcn_small_h64_b2_k3,matched_aug,pbj,123,64.42592592592592
braille,braille_tcn_small_h64_b2_k3,matched_aug,pbj,202,64.05555555555556
braille,braille_tcn_small_h64_b2_k3,matched_aug,cf,42,76.02880658436214
braille,braille_tcn_small_h64_b2_k3,matched_aug,cf,123,76.2633744855967
braille,braille_tcn_small_h64_b2_k3,matched_aug,cf,202,76.5
braille,braille_tcn_small_h64_b2_k3,matched_aug,matched,42,77.84773662551441
braille,braille_tcn_small_h64_b2_k3,matched_aug,matched,123,78.12345679012344
braille,braille_tcn_small_h64_b2_k3,matched_aug,matched,202,78.31893004115227
braille,braille_tcn_small_h64_b2_k3,matched_aug,cf_matched,42,72.91769547325102
braille,braille_tcn_small_h64_b2_k3,matched_aug,cf_matched,123,72.81687242798354
braille,braille_tcn_small_h64_b2_k3,matched_aug,cf_matched,202,73.01028806584362
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,clean,42,80.96296296296296
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,clean,123,81.0925925925926
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,clean,202,81.44444444444444
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,prebin,42,72.31893004115226
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,prebin,123,72.76748971193415
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,prebin,202,72.19341563786008
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,pbj,42,71.50411522633745
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,pbj,123,71.58230452674897
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,pbj,202,71.51234567901234
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,cf,42,78.24691358024691
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,cf,123,78.88477366255144
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,cf,202,78.96913580246914
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,matched,42,78.34979423868312
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,matched,123,78.51851851851852
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,matched,202,78.45473251028807
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,cf_matched,42,75.92386831275721
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,cf_matched,123,76.21810699588477
braille,braille_tcn_small_h64_b2_k3,cf_matched_aug,cf_matched,202,76.04115226337449

